{'ID': '', 'x': 0.876, 'y': -0.13, 'yaw': 0.035, 'bx': 1.051, 'by': -0.205, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 0.034, 'bx': 1.051, 'by': -0.205, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 6.204, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.26, 'y': 0.044, 'yaw': 5.914, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 6.038, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.24, 'y': 0.036, 'yaw': 6.05, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 5.956, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.21, 'y': 0.029, 'yaw': 6.039, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 5.903, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.179, 'y': 0.021, 'yaw': 5.801, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 5.641, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.151, 'y': 0.007, 'yaw': 5.412, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 5.157, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.13, 'y': -0.018, 'yaw': 5.363, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 4.924, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.111, 'y': -0.043, 'yaw': 4.862, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.173, 'yaw': 5.23, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.084, 'y': 0.183, 'yaw': 4.617, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '#0', 'x': -1.084, 'y': 0.183, 'yaw': 4.272, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '#0', 'x': -1.084, 'y': 0.183, 'yaw': 4.118, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '#0', 'x': -1.084, 'y': 0.183, 'yaw': 3.856, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.909, 'y': -0.012, 'yaw': 5.033, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '', 'x': 0.939, 'y': -0.095, 'yaw': 5.034, 'bx': 0.752, 'by': -0.696, 'bytes': 4}
{'ID': '#0', 'x': -1.084, 'y': 0.183, 'yaw': 3.649, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '#0', 'x': -1.084, 'y': 0.183, 'yaw': 3.354, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '#0', 'x': -1.084, 'y': 0.183, 'yaw': 3.235, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.947, 'y': -0.123, 'yaw': 4.927, 'bx': 0.724, 'by': -0.799, 'bytes': 4}
{'ID': '#0', 'x': -1.084, 'y': 0.183, 'yaw': 2.97, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.96, 'y': -0.18, 'yaw': 4.759, 'bx': 0.724, 'by': -0.799, 'bytes': 4}
{'ID': '#0', 'x': -1.084, 'y': 0.183, 'yaw': 2.686, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.964, 'y': -0.267, 'yaw': 4.976, 'bx': 0.724, 'by': -0.799, 'bytes': 4}
{'ID': '#0', 'x': -1.084, 'y': 0.183, 'yaw': 2.382, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '', 'x': 0.986, 'y': -0.351, 'yaw': 0.229, 'bx': 0.724, 'by': -0.799, 'bytes': 4}
{'ID': '#0', 'x': -1.084, 'y': 0.183, 'yaw': 2.151, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '#0', 'x': -1.084, 'y': 0.183, 'yaw': 2.033, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '#0', 'x': -1.084, 'y': 0.183, 'yaw': 1.951, 'bx': -1.261, 'by': 0.681, 'bytes': 4}
{'ID': '#0', 'x': -1.094, 'y': 0.208, 'yaw': 1.723, 'bx': -0.787, 'by': 0.693, 'bytes': 4}
{'ID': '#0', 'x': -1.102, 'y': 0.261, 'yaw': 1.903, 'bx': -0.787, 'by': 0.693, 'bytes': 4}
{'ID': '#0', 'x': -1.128, 'y': 0.338, 'yaw': 1.436, 'bx': -0.787, 'by': 0.693, 'bytes': 4}
